Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Value,Units,Tolerance,Dielectric,Voltage,ESR,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,TU,Note
CC0603JRNP08BN102,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,1000,pF,±5%,C0G,25V," ",-55,125,"CC0603JRNP08BN102, 0603 C0G 1000 pF 25V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 1000pF ±5% 25V C0G,0603 1000pF ±5% 25V C0G," "," "
CC0603JRNP09BN100,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,10,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN100, 0603 C0G 10 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 10pF ±5% 50V C0G,0603 10pF ±5% 50V C0G," "," "
CC0603JRNP09BN101,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,100,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN101, 0603 C0G 100 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 100pF ±5% 50V C0G,0603 100pF ±5% 50V C0G," "," "
CC0603JRNP09BN120,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,12,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN120, 0603 C0G 12 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 12pF ±5% 50V C0G,0603 12pF ±5% 50V C0G," "," "
CC0603JRNP09BN121,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,120,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN121, 0603 C0G 120 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 120pF ±5% 50V C0G,0603 120pF ±5% 50V C0G," "," "
CC0603JRNP09BN150,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN150, 0603 C0G 15 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 15pF ±5% 50V C0G,0603 15pF ±5% 50V C0G," "," "
CC0603JRNP09BN151,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,150,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN151, 0603 C0G 150 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 150pF ±5% 50V C0G,0603 150pF ±5% 50V C0G," "," "
CC0603JRNP09BN180,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,18,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN180, 0603 C0G 18 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 18pF ±5% 50V C0G,0603 18pF ±5% 50V C0G," "," "
CC0603JRNP09BN181,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,180,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN181, 0603 C0G 180 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 180pF ±5% 50V C0G,0603 180pF ±5% 50V C0G," "," "
CC0603JRNP09BN220,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,22,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN220, 0603 C0G 22 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 22pF ±5% 50V C0G,0603 22pF ±5% 50V C0G," "," "
