Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Type,U,I,FREQ,Pins,Pitch,Plating,Flammability,Tmin,Tmax,System ,Description,ComponentLink1Description,ComponentLink1URL,TU,gost BOM,Component Note,Note
PLD2-50,Connfly,,connector_50pin.SchLib,connector_50pin,PLD2-50.PcbLib,PLD2-50,PLD2,,,,50,2.0mm,,,,,Connector,,,,,PLD2-50,Double row 2mm spacing,
PLS-1,Connfly, ,connector_1pin.SchLib,connector_1pin,PLS-1.PcbLib,PLS-1,PLS, , , ,1,2.54mm, , , , ,Connector,"PLS-1, PLS 1 Pins",, , ,PLS-1 , , 
PLS-2,Connfly, ,connector_2pin.SchLib,connector_2pin,PLS-2.PcbLib,PLS-2,PLS, , , ,2,2.54mm, , , , ,Connector,"PLS-2, PLS 2 Pins",, , ,PLS-2 , , 
PLS-3,Connfly, ,connector_3pin.SchLib,connector_3pin,PLS-3.PcbLib,PLS-3,PLS, , , ,3,2.54mm, , , , ,Connector,"PLS-3, PLS 3 Pins",, , ,PLS-3 , , 
PLS-4,Connfly, ,connector_4pin.SchLib,connector_4pin,PLS-4.PcbLib,PLS-4,PLS, , , ,4,2.54mm, , , , ,Connector,"PLS-4, PLS 4 Pins",, , ,PLS-4 , , 
B2B-EH-A,JST,DS1069-01-2MVW6,connector_2pin.SchLib,connector_2pin,B2B-EH-A.PcbLib,B2B-EH-A,JST-EH,,,,2,2.5mm,,,,,Connector,2.5mm pitch 2 pin crimp-style connector,,,,"B2B-EH-A, JST",,
B4B-EH-A,JST,,connector_4pin.SchLib,connector_4pin,B4B-EH-A.PcbLib,B4B-EH-A,JST-EH,,,,4,2.5mm,,,,,Connector,2.5mm pitch 3 pin crimp-style connector,,,,"B4B-EH-A, JST",,
BM02B-GHS-TBT,JST,,connector_2pin.SchLib,connector_2pin,PCB - CONNECTOR - JST - JST BM02B-GHS-TBT.PCBLIB,JST BM02B-GHS-TBT,JST-GH,50V,1A,,2,1.25mm,no,,-25,+85,Connector,1.25mm pitch 2 pin crimp-style connector,Datasheet,https://www.jst.com/wp-content/uploads/2025/06/eGH.pdf,,"BM02B-GHS-TBT,JST",,
BM03B-GHS-TBT,JST,,connector_3pin.SchLib,connector_3pin,PCB - CONNECTOR - JST - JST BM03B-GHS-TBT.PCBLIB,JST BM03B-GHS-TBT,JST-GH,50V,1A,,3,1.25mm,no,,-25,+85,Connector,1.25mm pitch 3 pin crimp-style connector,Datasheet,https://www.jst.com/wp-content/uploads/2025/06/eGH.pdf,,"BM03B-GHS-TBT,JST",,
SM03B-GHS-TB,JST,,connector_3pin.SchLib,connector_3pin,PCB - CONNECTOR - JST - JST SM03B-GHS-TB.PCBLIB,JST SM03B-GHS-TB,JST-GH,50V,1A,,3,1.25mm,no,,-25,+85,Connector,1.25mm pitch 3 pin crimp-style connector,Datasheet,https://www.jst.com/wp-content/uploads/2025/06/eGH.pdf,,,,
USB4085-GF-A,GCT,,type_c_GCT_USB4085-GF-A.SchLib,USB4085-GF-A,GCT_USB4085-GF-A.PcbLib,GCT_USB4085-GF-A,USB type-C,,,,16,,,,,,Connector,USB 2.0 Type C Receptacle DIP type,Datasheet,https://static.chipdip.ru/lib/647/DOC044647631.pdf,,"USB4085-GF-A, GCT",,
USB4085-GF-A (parted),GCT,,type_c_GCT_USB4085-GF-A.SchLib,USB4085-GF-A (parted),GCT_USB4085-GF-A.PcbLib,GCT_USB4085-GF-A,USB type-C,,,,16,,,,,,Connector,USB 2.0 Type C Receptacle DIP type,Datasheet,https://static.chipdip.ru/lib/647/DOC044647631.pdf,,"USB4085-GF-A, GCT",,
PBS-3R,Connfly,,connector_3pin.SchLib,connector_3pin,PBS-3R.PcbLib,PBS-3R,PBS-R,,,,3,2.54mm,,,,,Connector,"PBS-3R, DS-1024 - 1x3 - R",Datasheet,https://static.chipdip.ru/lib/010/DOC004010965.pdf,,"PBS-3R, Connfly
",,
PBS-4R,Connfly,,connector_4pin.SchLib,connector_4pin,PBS-4R.PcbLib,PBS-4R,PBS-R,,,,4,2.54mm,,,,,Connector,"PBS-4R, DS-1024 - 1x4 - R",Datasheet,https://static.chipdip.ru/lib/010/DOC004010965.pdf,,"PBS-4R, Connfly",,
PLS-3R,Connfly,,connector_3pin.SchLib,connector_3pin,PLS-3R.PcbLib,PLS-3R,PLS-R,,,,3,2.54mm,,,,,Connector,"PLS-3R, DS-1022 - 1x3 - R",Datasheet,https://static.chipdip.ru/lib/528/DOC059528721.pdf,,"PLS-3R, Connfly",,
PLS-4R,Connfly,,connector_4pin.SchLib,connector_4pin,PLS-4R.PcbLib,PLS-4R,PLS-R,,,,4,2.54mm,,,,,Connector,"PLS-4R, DS-1022 - 1x4 - R",Datasheet,https://static.chipdip.ru/lib/528/DOC059528721.pdf,,"PLS-4R, Connfly",,
50A-20BX,Scondar ,,connector_22pin.SchLib,connector_20pin,50A-20BX.PcbLib,50A-20BX,FPC 20 pin 0.5mm,50V,,,20,0.5mm,tin/lead,,-25,+85,Connector,FPC 20 pin 0.5mm,Datasheet,https://static.chipdip.ru/lib/029/DOC038029421.pdf,,"50A-20BX, Scondar",,
S2B-XH-A,JST,,connector_2pin.SchLib,connector_2pin,S2B-XH-A.PcbLib,S2B-XH-A,JST-XH,,,,2,2.5mm,,,,,Connector,2.5mm pitch 2 pin Through-hole type shrouded header,Datasheet,https://static.chipdip.ru/lib/543/DOC012543250.pdf,,"S2B-XH-A, JST",,
S3B-XH-A,JST,,connector_3pin.SchLib,connector_3pin,S3B-XH-A.PcbLib,S3B-XH-A,JST-XH,,,,3,2.5mm,,,,,Connector,2.5mm pitch 3 pin Through-hole type shrouded header,Datasheet,https://static.chipdip.ru/lib/543/DOC012543250.pdf,,"S3B-XH-A, JST",,
S8B-XH-A,JST,,connector_8pin.SchLib,connector_8pin,S8B-XH-A.PcbLib,S8B-XH-A,JST-XH,,,,8,2.5mm,,,,,Connector,2.5mm pitch 8 pin Through-hole type shrouded header,Datasheet,https://static.chipdip.ru/lib/543/DOC012543250.pdf,,"S8B-XH-A, JST",,
DS1021-2x10SF11-B,Connfly,,connector_20pin.SchLib,connector_20pin,PLD-20.PcbLib,PLD-20,PLD,,,,20,2.54mm,,,,,Connector,"PLD-20, PLD 2x10 Pins",Datasheet,https://static.chipdip.ru/lib/177/DOC040177951.pdf,,DS1021-2x10SF11-B Connfly,,
DS1029-04-2x10P8BVA10-B,Connfly,,connector_20pin.SchLib,connector_20pin,PLHD-20.PcbLib,PLHD-20,PLHD,,,,20,2.54mm,,,,,Connector,"PLHD-20, PLHD 2x10 Pins",Datasheet,https://static.chipdip.ru/lib/529/DOC059529808.pdf,,DS1029-04-2x10P8BVA10-B Connfly,,
