Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Direction,Voltage,Cap,Current,Power,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,TU,Note,
TPD4E1B06DCKR,Texas Instruments,,TPD4E1B06DCKR.SchLib,TPD4E1B06DCKR,PCB - LEADED - SOT - TI SC70-6 DCK.PCBLIB,TI SC70-6 DCK,SC70-6,Bidirectional,5.5V,0.7 pF,0.5 nA,45W,-40,125,4-Channel Ultra Low Leakage ESD Protection Device,Datasheet,"https://static.chipdip.ru/lib/425/DOC018425336.pdf",TPD4E1B06DCKR 5.5V,"TPD4E1B06DCKR, Texas Instruments",,,
SMAJ5.0CA,STMicroelectronics ,SMAJ5.0CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,5, , , ,-65,150,"SMAJ5.0CA, DO-214AC 5V   BI-directional",Datasheet,"http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf","DO-214AC, 5V",SMAJ5.0CA STMicroelectronics , , ,
SMAJ6.0CA,STMicroelectronics ,SMAJ6.0CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,6, , , ,-65,150,"SMAJ6.0CA, DO-214AC 6V   BI-directional",Datasheet,"http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf","DO-214AC, 6V",SMAJ6.0CA STMicroelectronics , , ,
SMAJ6.5CA,STMicroelectronics ,SMAJ6.5CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,"6,5", , , ,-65,150,"SMAJ6.5CA, DO-214AC 6,5V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 6,5V",SMAJ6.5CA STMicroelectronics , , ,
SMAJ7.0CA,STMicroelectronics ,SMAJ7.0CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,7, , , ,-65,150,"SMAJ7.0CA, DO-214AC 7V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 7V",SMAJ7.0CA STMicroelectronics , , ,
SMAJ7.5CA,STMicroelectronics ,SMAJ7.5CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,"7,5", , , ,-65,150,"SMAJ7.5CA, DO-214AC 7,5V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 7,5V",SMAJ7.5CA STMicroelectronics , , ,
SMAJ8.0CA,STMicroelectronics ,SMAJ8.0CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,8, , , ,-65,150,"SMAJ8.0CA, DO-214AC 8V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 8V",SMAJ8.0CA STMicroelectronics , , ,
SMAJ8.5CA,STMicroelectronics ,SMAJ8.5CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,"8,5", , , ,-65,150,"SMAJ8.5CA, DO-214AC 8,5V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 8,5V",SMAJ8.5CA STMicroelectronics , , ,
SMAJ9.0CA,STMicroelectronics ,SMAJ9.0CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,9, , , ,-65,150,"SMAJ9.0CA, DO-214AC 9V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 9V",SMAJ9.0CA STMicroelectronics , , ,
SMAJ10CA,STMicroelectronics ,SMAJ10CA-TR,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - ST DO214AC SMA.PCBLIB,ST DO214AC SMA,DO-214AC,Bidirectional,10, , , ,-65,150,"SMAJ10CA, DO-214AC 10V   BI-directional",Datasheet,http://m.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf,"DO-214AC, 10V",SMAJ10CA STMicroelectronics , , ,
