Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Voltage,Cap,Vf,Current,Power,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,Note,
BZX84C10LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,10, , , ,350mW, , ,"BZX84C10LT1G, SOT23-3 10V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 10V",BZX84C10LT1G On Semiconductor,,
BZX84C11LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,11, , , ,350mW, , ,"BZX84C11LT1G, SOT23-3 11V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 11V",BZX84C11LT1G On Semiconductor,,
BZX84C12LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,12, , , ,350mW, , ,"BZX84C12LT1G, SOT23-3 12V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 12V",BZX84C12LT1G On Semiconductor,,
BZX84C13LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,13, , , ,350mW, , ,"BZX84C13LT1G, SOT23-3 13V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 13V",BZX84C13LT1G On Semiconductor,,
BZX84C15LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,15, , , ,350mW, , ,"BZX84C15LT1G, SOT23-3 15V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 15V",BZX84C15LT1G On Semiconductor,,
BZX84C16LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,16, , , ,350mW, , ,"BZX84C16LT1G, SOT23-3 16V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 16V",BZX84C16LT1G On Semiconductor,,
BZX84C18LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,18, , , ,350mW, , ,"BZX84C18LT1G, SOT23-3 18V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 18V",BZX84C18LT1G On Semiconductor,,
BZX84C20LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,20, , , ,350mW, , ,"BZX84C20LT1G, SOT23-3 20V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 20V",BZX84C20LT1G On Semiconductor,,
BZX84C22LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,22, , , ,350mW, , ,"BZX84C22LT1G, SOT23-3 22V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 22V",BZX84C22LT1G On Semiconductor,,
BZX84C24LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,24, , , ,350mW, , ,"BZX84C24LT1G, SOT23-3 24V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 24V",BZX84C24LT1G On Semiconductor,,
BZX84C27LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,27, , , ,350mW, , ,"BZX84C27LT1G, SOT23-3 27V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 27V",BZX84C27LT1G On Semiconductor,,
BZX84C2V4LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"2,4", , , ,350mW, , ,"BZX84C2V4LT1G, SOT23-3 2,4V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 2,4V",BZX84C2V4LT1G On Semiconductor,,
BZX84C2V7LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"2,7", , , ,350mW, , ,"BZX84C2V7LT1G, SOT23-3 2,7V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 2,7V",BZX84C2V7LT1G On Semiconductor,,
BZX84C30LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,30, , , ,350mW, , ,"BZX84C30LT1G, SOT23-3 30V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 30V",BZX84C30LT1G On Semiconductor,,
BZX84C33LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,33, , , ,350mW, , ,"BZX84C33LT1G, SOT23-3 33V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 33V",BZX84C33LT1G On Semiconductor,,
BZX84C36LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,36, , , ,350mW, , ,"BZX84C36LT1G, SOT23-3 36V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 36V",BZX84C36LT1G On Semiconductor,,
BZX84C39LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,39, , , ,350mW, , ,"BZX84C39LT1G, SOT23-3 39V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 39V",BZX84C39LT1G On Semiconductor,,
BZX84C3V0LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,3, , , ,350mW, , ,"BZX84C3V0LT1G, SOT23-3 3V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 3V",BZX84C3V0LT1G On Semiconductor,,
