Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Type,V_CEO,I_C25,I_CM,h_FE,V_Cesat,FREQ,Description,ComponentLink1Description,ComponentLink1URL,gost BOM,Component Note,Note
BC847,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT-23 - NEXPERIA SOT-23-3.PCBLIB,NEXPERIA SOT-23-3,SOT23-3,NPN,45,100 mA,200 mA,-,200 mV,100 Mhz,"BC847, NPN SOT23-3 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847 NXP Semiconductors,"SOT23-3, NPN",
BC847A,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT-23 - NEXPERIA SOT-23-3.PCBLIB,NEXPERIA SOT-23-3,SOT23-3,NPN,45,100 mA,200 mA,180,200 mV,100 Mhz,"BC847A, NPN SOT23-3 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847A NXP Semiconductors,"SOT23-3, NPN",
BC847AW,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT - DIODES SOT-323-3.PCBLIB,DIODES SOT-323-3,SOT323,NPN,45,100 mA,200 mA,180,200 mV,100 Mhz,"BC847AW, NPN SOT323 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847AW NXP Semiconductors,"SOT323, NPN",
BC847B,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT-23 - NEXPERIA SOT-23-3.PCBLIB,NEXPERIA SOT-23-3,SOT23-3,NPN,45,100 mA,200 mA,290,200 mV,100 Mhz,"BC847B, NPN SOT23-3 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847B NXP Semiconductors,"SOT23-3, NPN",
BC847BW,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT - DIODES SOT-323-3.PCBLIB,DIODES SOT-323-3,SOT323,NPN,45,100 mA,200 mA,290,200 mV,100 Mhz,"BC847BW, NPN SOT323 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847BW NXP Semiconductors,"SOT323, NPN",
BC847C,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT-23 - NEXPERIA SOT-23-3.PCBLIB,NEXPERIA SOT-23-3,SOT23-3,NPN,45,100 mA,200 mA,520,200 mV,100 Mhz,"BC847C, NPN SOT23-3 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847C NXP Semiconductors,"SOT23-3, NPN",
BC847CW,NXP Semiconductors, ,BJT_NPN_BEC.Schlib,BJT_NPN_BEC,PCB - LEADED - SOT - DIODES SOT-323-3.PCBLIB,DIODES SOT-323-3,SOT323,NPN,45,100 mA,200 mA,520,200 mV,100 Mhz,"BC847CW, NPN SOT323 100 mA 45V 100 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC847_SER.pdf,BC847CW NXP Semiconductors,"SOT323, NPN",
BC807,NXP Semiconductors, ,BJT_PNP_BEC.Schlib,BJT_PNP_BEC,PCB - LEADED - SOT-23 - NEXPERIA SOT-23-3.PCBLIB,NEXPERIA SOT-23-3,SOT23-3,PNP,-45 V,-500 mA,-1 A,600,-700 mV,80 Mhz,"BC807, PNP SOT23-3 -500 mA -45 VV 80 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf,BC807 NXP Semiconductors,"SOT23-3, PNP",
BC807-16W,NXP Semiconductors, ,BJT_PNP_BEC.Schlib,BJT_PNP_BEC,PCB - LEADED - SOT - DIODES SOT-323-3.PCBLIB,DIODES SOT-323-3,SOT323,PNP,-45 V,-500 mA,-1 A,250,-700 mV,80 Mhz,"BC807-16W, PNP SOT323 -500 mA -45 VV 80 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf,BC807-16W NXP Semiconductors,"SOT323, PNP",
BC807-25,NXP Semiconductors, ,BJT_PNP_BEC.Schlib,BJT_PNP_BEC,PCB - LEADED - SOT-23 - NEXPERIA SOT-23-3.PCBLIB,NEXPERIA SOT-23-3,SOT23-3,PNP,-45 V,-500 mA,-1 A,400,-700 mV,80 Mhz,"BC807-25, PNP SOT23-3 -500 mA -45 VV 80 Mhz",Datasheet,http://www.nxp.com/documents/data_sheet/BC807_BC807W_BC327.pdf,BC807-25 NXP Semiconductors,"SOT23-3, PNP",
